cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,subasta,fecha_publicacion,fecha_presentacion,estado,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
24-1118-00-1580401-0-E,Gobierno Autonomo Municipal De Yamparaez,Servicios Generales,CM,Implementación Módulo Eléctrico Caseta De Bombeo Nuevo Centro De Salud Integral Cardenal Maurer Municipio Yamparaez,False,2025-08-01,,Contratado,Wilver Santos Escalante (Telf: 6938217),,Chuquisaca,NB-SABS (D.S.0181)
24-1705-00-1580676-0-E,Gobierno Autonomo Municipal De El Torno,Obras,CD,Mej. Plaza Principal Angostura Dist. 5,False,2025-08-01,,Contratado,Felix Rolando Cabrera Padilla (Telf: 3822132),,Santa Cruz,NB-SABS (D.S.0181)
25-0015-00-1580848-0-E,Ministerio De Gobierno,Bienes,CD,"Provisión De Combustible (Gasolina Y Diésel) Para Los Vehículos De Las Direcciones Distritales Del Ministerio De Gobierno En El Departamento De Santa Cruz, Para La Gestión 2025",False,2025-08-01,,Contratado,Claudia Angela Chorolque Calle (Telf: 2120002 - 2120003),,La Paz,NB-SABS (D.S.0181)
25-0015-01-1580521-1-1,Policia Boliviana,Bienes,CM,Adquisición De Equipo De Protección Personal Para La División Nacional De Infraestructura De La Dirección Nacional Administrativa De La Policía Boliviana,False,2025-08-01,2025-08-08,Vigente,Nestor Quispe Choque (Telf: 2-433211),,La Paz,NB-SABS (D.S.0181)
25-0015-01-1580639-1-1,Policia Boliviana,Bienes,CM,"Adquisición De Literas Metálicas, Colchones, Almohadas Y Frazadas Para La Dirección Nacional De O.C.N. Interpol",False,2025-08-01,2025-08-08,Vigente,Nestor Quispe Choque (Telf: 2-433211),,La Paz,NB-SABS (D.S.0181)
25-0016-00-1569846-0-E,Ministerio De Educación,Servicios Generales,CD,Servicio De Supervisión Técnica De Infraestructura Civil Proyecto: Const. Unidad Educativa Viloma Cala Cala - Sipe Sipe.,False,2025-08-01,,Contratado,Augusto Octavio Sanjinez Apaza (Telf: 2442144   -   2441752),,La Paz,D.S. 2511 Programa Bolivia Cambia
25-0016-00-1580674-1-1,Ministerio De Educación,Bienes,CNC,Adquisición De Premios (Computadora) Para Ganadores De La Convocatoria Pública N° 001/2025 “3ra. Olimpiada De Ajedrez Del Sistema Educativo Plurinacional – Gestión 2025”,True,2025-08-01,2025-08-12,Vigente,Evert Basilio Velarde Flores (Telf: 2442144   -   2441752),,La Paz,Compro Hecho en Bolivia (D.S.4505)
25-0016-08-1564213-2-2,Universidad Pedagogica Nacional Mariscal Sucre,Bienes,ANPE,Adquisicion Gavetas Metalicas De 5 Cajoneras Para El Archivo De Folders Universitarios De Los Procesos De Titulacion,False,2025-08-01,2025-08-11,Vigente,Carolina Maica Solamayo Basagoitia (Telf: 6453890),,Chuquisaca,NB-SABS (D.S.0181)
25-0020-10-1579311-1-1,Comando General Del Ejercito,Bienes,LP,"Adquisición De Vehículos Aéreos No Tripulados (Vant'S) De Ala Rotatoria, Para El Proyecto Implementación Del C5i., Para Operaciones De Seguridad, Defensa Y Desarrollo Del Estado Plurinacional De Bolivia",True,2025-08-01,2025-08-26,Vigente,Wilmer Alarcon Mendoza (Telf: 2977600),,La Paz,NB-SABS (D.S.0181)
25-0025-26-1580936-1-1,Unidad Ejecutora Del Fondo Nacional De Solidaridad Y Equidad,Bienes,ANPP,Adquisición De Bienes Para El Equipamiento Centro De Rehabilitación Y Habilitación Para Personas Con Discapacidad Del Municipio De Sacaba Gestión 2025 - Ue-Fnse,True,2025-08-01,2025-08-18,Vigente,Edem Remberto Quispe Coca (Telf: 2333130),,La Paz,NB-SABS (D.S.0181)
25-0035-01-1580795-1-1,Servicio De Impuestos Nacionales,Bienes,CM,"Adquisición De Toners Para Los Proyectos De Las Impresoras Y Fotocopiadoras De Los Departamentos Jurídico, Fiscalización Y Administrativo Y Recursos Humanos De La Gerencia Distrital La Paz Ii",False,2025-08-01,2025-08-08,Vigente,Daysi Veronica Mamani Morales (Telf: 2606060 ),,La Paz,NB-SABS (D.S.0181)
25-0035-01-1580842-1-1,Servicio De Impuestos Nacionales,Servicios Generales,CM,"Contratación De Servicio De Transporte Al Personal Del Proyecto ""Fiabilidad Del Padrón Nacional De Contribuyentes Y Plataformas Moviles De Inscripciones, Rehabilitaciones Y Actualizaciones De Datos - Gestión 2025.",False,2025-08-01,2025-08-08,Vigente,Roxana Burgos Gonzales (Telf: 2606060 ),,La Paz,NB-SABS (D.S.0181)
25-0035-01-1580853-1-1,Servicio De Impuestos Nacionales,Bienes,ANPE,Adquisicion De Toners Para Las Impresoras Multifuncion Del Proyecto  “Registro Y Actualización De Datos En El Pbd” Del Departamento De Recaudacion Y Empadronamiento De La Gerencia Distrital La Paz Ii,True,2025-08-01,2025-08-12,Vigente,Daysi Veronica Mamani Morales (Telf: 2606060 ),,La Paz,NB-SABS (D.S.0181)
25-0035-01-1580869-1-1,Servicio De Impuestos Nacionales,Bienes,ANPE,Adquisicion De Toners Para Las Impresoras De Las Distintas Iniciativas  Pertenecientes Al Departamento De Recaudacion Y Empadronamiento De La Gerencia Distrital La Paz Ii,True,2025-08-01,2025-08-12,Vigente,Daysi Veronica Mamani Morales (Telf: 2606060 ),,La Paz,NB-SABS (D.S.0181)
