cuce,entidad,tipo_de_contratacion,modalidad,objeto_de_contratacion,subasta,fecha_publicacion,fecha_presentacion,estado,persona_contacto,fecha_adjudicacion_desierta,departamento,normativa
25-0548-00-1593419-0-E,Cofadena Oficina Central,Bienes,CD,Adquisición De Combustible Para El Abastecimiento De Diésel Y Gasolina Para El Proyecto “Mejoramiento De Accesos Viales Y Conformación De Plataformas Para Accesos Principales”,False,2026-01-01,,Contratado,Janeth Jamillo Perez (Telf: 2433810),,La Paz,NB-SABS (D.S.0181)
25-1541-00-1624206-1-1,Gobierno Autonomo Municipal San Pedro De Macha,Consultoria,ANPE,Consultores En Linea - Medicos Y Para Medicos Red De Salud San Pedro De Macha (Gestion 2026),False,2026-01-02,2026-01-08,Vigente,Ambrosio Chumacero Yucra (Telf: 72407888),,Potosi,NB-SABS (D.S.0181)
25-1541-00-1624235-1-1,Gobierno Autonomo Municipal San Pedro De Macha,Consultoria,ANPP,Fortalecimiento A La Salud (Consultores Individuales De Linea Gestion 2026),False,2026-01-02,2026-01-13,Vigente,Ambrosio Chumacero Yucra (Telf: 72407888),,Potosi,NB-SABS (D.S.0181)
24-1431-00-1623533-0-E,Gobierno Autonomo Municipal De Sabaya,Bienes,EX,Adquisición De Insumos Para La Alimentación Complementaria Escolar ( Declarados Desiertos Cnc Arroz Y Carne),False,2026-01-04,,Contratado,Nilda Cussi Colque (Telf: 25134116),,Oruro,NB-SABS (D.S.0181)
25-3701-00-1624666-0-E,Gaioc De Charagua Iyambae,Consultoria,CM,Medico Pediatra Para El Centro De Salud Integral Mamerto Eguez Soruco,False,2026-01-04,,Contratado,Jose Domingo Pedraza Alcantara (Telf: 73320206),,Santa Cruz,NB-SABS (D.S.0181)
25-3701-00-1624667-0-E,Gaioc De Charagua Iyambae,Consultoria,CM,Medico General V Para El Centro De Salud Integral Mamerto Eguez Soruco,False,2026-01-04,,Contratado,Jose Domingo Pedraza Alcantara (Telf: 73320206),,Santa Cruz,NB-SABS (D.S.0181)
25-0015-01-1624674-0-E,Policia Boliviana,Servicios Generales,CD,"Adquisición De Combustible (Gasolina Especial Y Diésel Oíl) Para El Parque Automotor Del Comando Departamental De Policía De Santa Cruz, Para  Servicios Ordinarios Y Extraordinarios De La Gestion 2026",False,2026-01-05,,Contratado,Carlos Quispe Condori (Telf: 2-433211),,La Paz,NB-SABS (D.S.0181)
25-0020-00-1624714-0-E,Ministerio De Defensa ,Servicios Generales,EM,"Servicio De Alquiler De Maquinaria Pesada (Excavadoras, Retroexcavadoras, Palas Cargadoras), Para 8 Barrios Del Gobierno Autónomo Municipal De Cobija, Provincia Nicolás Suárez, Del Departamento De Pando",False,2026-01-05,,Contratado,Litzie Lizeth Choque Soto (Telf: 2610400 - 2432525),,La Paz,NB-SABS (D.S.0181)
25-0046-21-1623892-1-1,Seguro Social Universitario - Cochabamba,Bienes,CM,Medicamentos Oncologicos  12,False,2026-01-05,2026-01-08,Vigente,Elsa Victoria Silva Bustillo (Telf: 4226772),,Cochabamba,NB-SABS (D.S.0181)
25-0578-00-1621699-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Bienes,CD,"(Da-233) Compra De Producto Aeronáutico -Material Requerido Complementario Para El Cumplimiento Del Ad 2019-08-04, Para El Cp 2852.",False,2026-01-05,,Contratado,Jaquelin Noemi Laime Quisbert (Telf: 4150000),,Cochabamba,D.S. 26688
25-0578-00-1623760-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Bienes,CD,(Ga-556) Compra De Productos Aeronáuticos Para La Flota Boa,False,2026-01-05,,Contratado,Elizabeth Triveno Pedro (Telf: 4150000),,Cochabamba,D.S. 26688
25-0578-00-1623766-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Bienes,CD,(Ga-563) Compra De Productos Aeronautico P/N: Jet Oil Ii-Qt,False,2026-01-05,,Contratado,Elizabeth Triveno Pedro (Telf: 4150000),,Cochabamba,D.S. 26688
25-0578-00-1624692-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Bienes,CD,(Gm-476) Compra De Producto Aeronáutico - Pn: 541674-4,False,2026-01-05,,Contratado,Jaquelin Noemi Laime Quisbert (Telf: 4150000),,Cochabamba,D.S. 26688
25-0578-00-1624698-0-E,Empresa Publica Nacional Estrategica Boliviana De Aviacion - Bo A,Bienes,CD,(Gm-481) Compra De Producto Aeronáutico - Pn: 13e41-5,False,2026-01-05,,Contratado,Jaquelin Noemi Laime Quisbert (Telf: 4150000),,Cochabamba,D.S. 26688
25-0660-14-1624144-0-E,Direccion Administrativa Y Financiera - Organo Judicial - Cochabamba,Servicios Generales,CD,Provision De Combustible Para Vehiculos Del Organo Judicial De Cochabamba 2026,False,2026-01-05,,Contratado,Dayana Fabiola Mirabal Sangueza (Telf: 4050074 - 71430604),,Cochabamba,NB-SABS (D.S.0181)
25-0905-00-1624687-0-E,Gobierno Autónomo Departamental De Potosí,Obras,EX,Const. Sistema De Agua Potable Comunidad Tatasi,False,2026-01-05,,Contratado,Veronica Andrea Fajardo Fernandez (Telf: 6229679),,Potosi,NB-SABS (D.S.0181)
25-1201-00-1624678-0-E,Gobierno Autonomo Municipal De La Paz,Obras,EX,Reconstruccion Aceras Y Obras Complementarias Calle Delgado (Calle 1) Y Calle Linares Entre Avenida Inofuentes Y Calle Soto Zona Bajo Achumani,False,2026-01-05,,Contratado,Angel Gualberto Suntura Sacaca (Telf: 2650000),,La Paz,NB-SABS (D.S.0181)
25-1205-00-1606510-0-E,Gobierno Autonomo Municipal De El Alto,Bienes,CD,Direccion Administrativa (Diesel Sur 2025),False,2026-01-05,,Contratado,Isidoro Limachi Kallaconde (Telf: 2829272 - 2829414),,La Paz,NB-SABS (D.S.0181)
